Player Name,Position,Minutes,Touches,Shots,Progressive Carries,Interceptions,fThird Passes,Successful fThird Passes,Crosses,Successful Crosses,Ground Duels,gDuels Won
Ben White,DEF,1198,833,9,296,23,714,592,51,10,231,116
Bukayo Saka,MID,1735,1094,67,69,15,55,33,1,0,58,34
Declan Rice,MID,2833,2016,48,260,13,480,364,63,7,342,121
Gabriel Magalhães,DEF,2365,1911,22,216,5,339,254,89,21,206,77
Gabriel Martinelli,MID,2300,1083,55,110,10,210,132,9,1,237,111
Jakub Kiwior,DEF,1117,861,3,52,9,132,93,26,6,53,27
Jurriën Timber,DEF,2422,1752,14,38,6,163,99,6,1,148,37
Kai Havertz,FWD,1874,837,53,34,19,150,105,6,2,127,59
Leandro Trossard,MID,2550,1410,72,135,25,295,222,68,14,167,89
Martin Ødegaard,MID,2328,1791,49,259,24,721,639,0,0,214,117
Mikel Merino,MID,1581,846,38,239,27,636,446,76,19,310,160
Myles Lewis-Skelly,DEF,1370,964,3,267,34,288,170,8,2,129,75
Thomas Partey,MID,2799,2289,26,75,22,184,145,37,4,99,56
William Saliba,DEF,3041,2883,6,186,26,176,101,5,0,108,56
Amadou Onana,MID,1624,1057,17,82,8,344,241,48,5,151,61
Boubacar Kamara,MID,1725,1184,10,129,27,230,180,10,4,158,86
Ezri Konsa,DEF,2937,1987,11,232,45,373,226,13,1,117,56
Ian Maatsen,DEF,1128,976,19,227,17,287,219,0,0,101,62
Jacob Ramsey,MID,1628,830,19,182,2,401,322,23,0,143,69
John McGinn,MID,2230,1187,31,138,9,332,230,21,5,204,90
Leon Bailey,MID,1143,600,28,90,14,192,149,6,1,153,84
Lucas Digne,DEF,2358,1586,13,100,18,508,327,23,5,301,149
Marcus Rashford,MID,1426,706,35,177,5,410,323,52,16,227,99
Matty Cash,DEF,2077,1251,13,149,54,183,95,7,2,152,94
Morgan Rogers,MID,3129,1528,55,187,36,352,216,8,2,151,86
Ollie Watkins,FWD,2610,784,84,83,6,162,131,13,4,116,53
Pau Torres,DEF,2020,1561,8,19,1,97,47,0,0,111,31
Tyrone Mings,DEF,1121,809,9,134,42,241,171,68,22,195,112
Youri Tielemans,MID,3032,2517,41,98,11,219,175,55,9,89,50
Adam Smith,DEF,1596,855,3,52,15,169,110,33,7,88,42
Antoine Semenyo,MID,3209,1849,125,294,62,539,394,170,42,286,151
Dango Ouattara,MID,2006,1052,62,130,44,381,250,74,19,310,163
Dean Huijsen,DEF,2422,2044,18,226,25,590,502,34,6,172,82
Evanilson,FWD,2335,630,73,200,24,194,158,5,0,119,89
Illia Zabarnyi,DEF,3113,2092,12,146,9,318,215,55,13,203,95
Justin Kluivert,MID,2356,1177,63,72,6,264,205,11,2,138,46
